MunicipalityID,Department Name,Municipality Name,COD_DANE,NOM_DEPART,NOM_MUNICI,COD_DANE
12014,AMAZONAS,EL ENCANTO,91263,AMAZONAS,EL ENCANTO,91263
11624,AMAZONAS,LA CHORRERA,91405,AMAZONAS,LA CHORRERA,91405
11901,AMAZONAS,LA PEDRERA,91407,AMAZONAS,LA PEDRERA,91407
12452,AMAZONAS,LA VICTORIA,91430,AMAZONAS,LA VICTORIA,91430
12436,AMAZONAS,LETICIA,91001,AMAZONAS,LETICIA,91001
11937,AMAZONAS,MIRITI,91460,AMAZONAS,MIRITI-PARANA,91460
12029,AMAZONAS,PUERTO ALEGRIA,91530,AMAZONAS,PUERTO ALEGRIA,91530
12164,AMAZONAS,PUERTO ARICA,91536,AMAZONAS,PUERTO ARICA,91536
11960,AMAZONAS,PUERTO NARINO,91540,AMAZONAS,PUERTO NARINO,91540
12079,AMAZONAS,PUERTO SANTANDER,91669,AMAZONAS,SANTANDER,91669
11707,AMAZONAS,TARAPACA,91798,AMAZONAS,TARAPACA,91798
11832,ANTIOQUIA,ABEJORRAL,5002,ANTIOQUIA,ABEJORRAL,5002
11844,ANTIOQUIA,ABRIAQUI,5004,ANTIOQUIA,ABRIAQUI,5004
11965,ANTIOQUIA,ALEJANDRIA,5021,ANTIOQUIA,ALEJANDRIA,5021
12094,ANTIOQUIA,AMAGA,5030,ANTIOQUIA,AMAGA,5030
11572,ANTIOQUIA,AMALFI,5031,ANTIOQUIA,AMALFI,5031
11852,ANTIOQUIA,ANDES,5034,ANTIOQUIA,ANDES,5034
12253,ANTIOQUIA,ANGELOPOLIS,5036,ANTIOQUIA,ANGELOPOLIS,5036
11635,ANTIOQUIA,ANGOSTURA,5038,ANTIOQUIA,ANGOSTURA,5038
12024,ANTIOQUIA,ANORI,5040,ANTIOQUIA,ANORI,5040
11845,ANTIOQUIA,ANZA,5044,ANTIOQUIA,ANZA,5044
12610,ANTIOQUIA,APARTADO,5045,ANTIOQUIA,APARTADO,5045
11620,ANTIOQUIA,ARBOLETES,5051,ANTIOQUIA,ARBOLETES,5051
12228,ANTIOQUIA,ARGELIA,5055,ANTIOQUIA,ARGELIA,5055
11583,ANTIOQUIA,ARMENIA,5059,ANTIOQUIA,ARMENIA,5059
12021,ANTIOQUIA,BARBOSA,5079,ANTIOQUIA,BARBOSA,5079
11729,ANTIOQUIA,BELLO,5088,ANTIOQUIA,BELLO,5088
12050,ANTIOQUIA,BELMIRA,5086,ANTIOQUIA,BELMIRA,5086
12602,ANTIOQUIA,BETANIA,5091,ANTIOQUIA,BETANIA,5091
12046,ANTIOQUIA,BETULIA,5093,ANTIOQUIA,BETULIA,5093
11616,ANTIOQUIA,BRICENO,5107,ANTIOQUIA,BRICENO,5107
12159,ANTIOQUIA,BURITICA,5113,ANTIOQUIA,BURITICA,5113
12595,ANTIOQUIA,CACERES,5120,ANTIOQUIA,CACERES,5120
12165,ANTIOQUIA,CAICEDO,5125,ANTIOQUIA,CAICEDO,5125
12503,ANTIOQUIA,CALDAS,5129,ANTIOQUIA,CALDAS,5129
12160,ANTIOQUIA,CAMPAMENTO,5134,ANTIOQUIA,CAMPAMENTO,5134
12055,ANTIOQUIA,CANASGORDAS,5138,ANTIOQUIA,CANASGORDAS,5138
12236,ANTIOQUIA,CARACOLI,5142,ANTIOQUIA,CARACOLI,5142
12185,ANTIOQUIA,CARAMANTA,5145,ANTIOQUIA,CARAMANTA,5145
11673,ANTIOQUIA,CAREPA,5147,ANTIOQUIA,CAREPA,5147
11912,ANTIOQUIA,EL CARMEN DE VIBORAL,5148,ANTIOQUIA,CARMEN DE VIBORAL,5148
11947,ANTIOQUIA,CAROLINA,5150,ANTIOQUIA,CAROLINA,5150
12407,ANTIOQUIA,CAUCASIA,5154,ANTIOQUIA,CAUCASIA,5154
12392,ANTIOQUIA,CHIGORODO,5172,ANTIOQUIA,CHIGORODO,5172
12216,ANTIOQUIA,CISNEROS,5190,ANTIOQUIA,CISNEROS,5190
12422,ANTIOQUIA,BOLIVAR,5101,ANTIOQUIA,CIUDAD BOLIVAR,5101
12463,ANTIOQUIA,COCORNA,5197,ANTIOQUIA,COCORNA,5197
12281,ANTIOQUIA,CONCEPCION,5206,ANTIOQUIA,CONCEPCION,5206
11811,ANTIOQUIA,CONCORDIA,5209,ANTIOQUIA,CONCORDIA,5209
11820,ANTIOQUIA,COPACABANA,5212,ANTIOQUIA,COPACABANA,5212
11612,ANTIOQUIA,DABEIBA,5234,ANTIOQUIA,DABEIBA,5234
12654,ANTIOQUIA,DON MATIAS,5237,ANTIOQUIA,DON MATIAS,5237
11649,ANTIOQUIA,EBEJICO,5240,ANTIOQUIA,EBEJICO,5240
12154,ANTIOQUIA,EL BAGRE,5250,ANTIOQUIA,EL BAGRE,5250
12408,ANTIOQUIA,ENTRERRIOS,5264,ANTIOQUIA,ENTRERRIOS,5264
11992,ANTIOQUIA,ENVIGADO,5266,ANTIOQUIA,ENVIGADO,5266
12139,ANTIOQUIA,FREDONIA,5282,ANTIOQUIA,FREDONIA,5282
12073,ANTIOQUIA,FRONTINO,5284,ANTIOQUIA,FRONTINO,5284
12033,ANTIOQUIA,GIRALDO,5306,ANTIOQUIA,GIRALDO,5306
12485,ANTIOQUIA,GIRARDOTA,5308,ANTIOQUIA,GIRARDOTA,5308
12339,ANTIOQUIA,GOMEZ PLATA,5310,ANTIOQUIA,GOMEZ PLATA,5310
11827,ANTIOQUIA,GRANADA,5313,ANTIOQUIA,GRANADA,5313
11925,ANTIOQUIA,GUADALUPE,5315,ANTIOQUIA,GUADALUPE,5315
11645,ANTIOQUIA,GUARNE,5318,ANTIOQUIA,GUARNE,5318
12231,ANTIOQUIA,GUATAPE,5321,ANTIOQUIA,GUATAPE,5321
11585,ANTIOQUIA,HELICONIA,5347,ANTIOQUIA,HELICONIA,5347
12574,ANTIOQUIA,HISPANIA,5353,ANTIOQUIA,HISPANIA,5353
12644,ANTIOQUIA,ITAGUI,5360,ANTIOQUIA,ITAGUI,5360
11735,ANTIOQUIA,ITUANGO,5361,ANTIOQUIA,ITUANGO,5361
12130,ANTIOQUIA,JARDIN,5364,ANTIOQUIA,JARDIN,5364
11966,ANTIOQUIA,JERICO,5368,ANTIOQUIA,JERICO,5368
11995,ANTIOQUIA,LA CEJA,5376,ANTIOQUIA,LA CEJA,5376
11720,ANTIOQUIA,LA ESTRELLA,5380,ANTIOQUIA,LA ESTRELLA,5380
11919,ANTIOQUIA,LA PINTADA,5390,ANTIOQUIA,LA PINTADA,5390
12596,ANTIOQUIA,LA UNION,5400,ANTIOQUIA,LA UNION,5400
