lon,lat,MunicipalityID,Department Name,Municipality Name,Rural Population,Urban Population,Total Population
-71.79661457,11.99139953,12552,La Guajira,Uribia,110055,7619,117674
-72.57466802,11.6088511,11760,La Guajira,Manaure,41518,26066,67584
-72.29807216,11.38568622,11664,La Guajira,Maicao,38656,85101,123757
-72.96150032,11.2506328,12405,La Guajira,Riohacha,31682,136183,167865
-73.44315927,11.09529337,12433,La Guajira,Dibulla,18704,3094,21798
-73.91668304,11.10873821,11670,Magdalena,Santa Marta,30148,385122,415270
-72.72180002,11.10211921,12516,La Guajira,Hatonuevo,7581,8802,16383
-72.70491375,10.95552258,12169,La Guajira,Barrancas,13273,13056,26329
-74.04297466,10.88913943,12438,Magdalena,Cienaga,14361,87624,101985
-74.83730623,10.98264998,11778,Atlantico,Barranquilla,4047,1142312,1146359
-74.64154619,10.86688752,12267,Magdalena,Sitionuevo,13832,13035,26867
-74.91310188,11.00261449,11889,Atlantico,Puerto Colombia,7183,20654,27837
-72.9589147,10.9021345,11728,La Guajira,Distraccion,7979,3983,11962
-72.79317531,10.79006805,11646,La Guajira,Fonseca,7879,18952,26831
-73.06558864,10.78134065,12161,La Guajira,San Juan Del Cesar,12141,21513,33654
-74.38256567,10.83370969,11978,Magdalena,Puebloviejo,16387,8607,24994
-74.98476837,10.89985889,12403,Atlantico,Tubara,4824,6091,10915
-74.88305245,10.8983592,12621,Atlantico,Galapa,3325,28687,32012
-74.78784967,10.89984267,12401,Atlantico,Soledad,855,460996,461851
-74.81085242,10.8392286,11840,Atlantico,Malambo,6022,95258,101280
-75.07621185,10.81851589,12429,Atlantico,Juan De Acosta,5444,9134,14578
-73.43551784,10.43566034,12025,Cesar,Valledupar,55384,299065,354449
-73.91346719,10.62245741,11683,Magdalena,Aracataca,15626,19894,35520
-74.92382426,10.78507286,12237,Atlantico,Baranoa,8731,42840,51571
-74.77340592,10.79000608,12144,Atlantico,Sabanagrande,1172,24227,25399
-74.85643249,10.76105238,11593,Atlantico,Polonuevo,2572,11325,13897
-75.15635087,10.73728793,12690,Atlantico,Piojo,2558,2459,5017
-74.99583487,10.740263,11996,Atlantico,Usiacuri,847,7957,8804
-75.28195237,10.68925595,12163,Bolivar,Santa Catalina,7744,4314,12058
-74.80094032,10.73184738,12217,Atlantico,Santo Tomas,1257,22617,23874
-74.77793294,10.68839642,11668,Atlantico,Palmar De Varela,878,22796,23674
-74.36614509,10.67144555,11580,Magdalena,El Reten,5263,13546,18809
-74.60462523,10.63373171,12203,Magdalena,Remolino,3279,5472,8751
-74.95717216,10.61636378,12294,Atlantico,Sabanalarga,19924,66707,86631
-74.80501751,10.5828422,12364,Atlantico,Ponedera,9179,9775,18954
-75.17079859,10.62450341,12123,Atlantico,Luruaco,12368,11190,23558
-75.46639117,10.421995,12310,Bolivar,Cartagena,50317,842228,892545
-73.67682986,10.27056179,12003,Cesar,Pueblo Bello,13072,4156,17228
-74.41199461,10.40800696,12126,Magdalena,Pivijay,16789,19229,36018
-72.97394599,10.57096436,12580,La Guajira,Villanueva,5327,18211,23538
-72.832643,10.57952718,12252,La Guajira,El Molino,1845,5470,7315
-73.89788664,10.45241414,12336,Magdalena,Fundacion,7130,49856,56986
-75.30711367,10.53777468,12664,Bolivar,Clemencia,2894,8820,11714
-75.13830998,10.49781548,11594,Atlantico,Repelon,7559,15314,22873
-74.72956512,10.49914535,11718,Magdalena,Salamina,3394,5010,8404
-74.88636788,10.47412924,12655,Atlantico,Candelaria,3254,8781,12035
-72.9842256,10.47993267,12060,La Guajira,Urumita,5928,7421,13349
-74.99602637,10.4447498,11588,Atlantico,Manati,1407,12403,13810
-75.35306388,10.43834545,12597,Bolivar,Santa Rosa,5706,12489,18195
-75.26148723,10.41591891,11890,Bolivar,Villanueva,1988,15588,17576
-74.68313044,10.33887602,12069,Magdalena,El Pinon,11218,5817,17035
-74.900319,10.37991127,11587,Atlantico,Campo De La Cruz,2640,16467,19107
-73.2488283,10.12394787,11773,Cesar,La Paz,8773,13101,21874
-75.20533036,10.33979065,12551,Bolivar,San Estanislao,4381,10931,15312
-72.98208891,10.37108825,11574,Cesar,Manaure,4088,7229,11317
-75.11926586,10.31074672,12532,Bolivar,Soplaviento,321,7960,8281
-75.09342059,10.35749242,12496,Bolivar,San Cristobal,1735,4826,6561
-75.37586545,10.32500332,11921,Bolivar,Turbaco,5332,57714,63046
-73.93327883,10.18543726,11724,Cesar,El Copey,6459,18512,24971
-74.97750287,10.33867519,12167,Atlantico,Santa Lucia,1358,11060,12418
-74.82646913,10.29371417,12285,Magdalena,Cerro San Antonio,4076,4243,8319
-75.00247777,10.21828821,11636,Bolivar,Calamar,9526,11196,20722
-73.25398628,10.23677541,12566,Cesar,San Diego,6461,7311,13772
-74.91998753,10.29770324,11784,Atlantico,Suan,486,9216,9702
-75.36890957,10.13519664,12584,Bolivar,Arjona,12956,47451,60407
-75.18553493,10.15704817,12649,Bolivar,Mahates,14302,8627,22929
-75.43865344,10.20661697,12141,Bolivar,Turbana,1558,11935,13493
-74.83520246,10.15470514,12274,Magdalena,Pedraza,5706,2325,8031
-74.54935502,10.08785424,12482,Magdalena,Chibolo,6017,10430,16447
